	xKooFuss_d	yKooFuss_d	Formcode	Ra_Di_cm	Breit_cm	Objekt	Kopf_LV95_	Kopf_LV951	Fuss_LV95_	Fuss_LV951	AnzJR_Best	Mark_Best	WK_Best	Splint_Bes	Art_Best	DcEign	DmRek	mindDM	LabNr	Dat	Gte	DG	x	y
9564.00000000000	498.31	137.91	1.00	13.00	6.50	P			2683694.38	1246667.90	41.00		2?	1.00	1	3	23.00		656959	-2885	b	47	2683694.38	1246667.90
23427.00000000000	491.59	136.58	1.00	3.00	10.00	P			2683688.98	1246663.70	0.00		4	1.00	1	1	0.00	32	656847	-2885	a	4	2683688.98	1246663.70
14830.00000000000	485.62	165.46	1.00	11.00	8.00	P			2683670.68	1246686.82	21.00		5	1.00	1	4	21.00						2683670.68	1246686.82
28406.00000000000	468.07	152.38	1.00	10.00	6.00	P			2683660.87	1246667.25	23.00	mn	4	1.00	1	4	18.00						2683660.87	1246667.25
24402.00000000000	467.28	175.50	1.00	13.00	10.00	P			2683649.77	1246687.55	0.00		4	1.00	1	1	26.00		657564	-2885	a	4	2683649.77	1246687.55
5361.00000000000	496.13	136.98	1.00	11.50	4.00	P			2683692.86	1246666.09	48.00			0.00	1	3	0.00	30	656935	0	u	46	2683692.86	1246666.09
26740.00000000000	470.86	164.22	1.00	11.50	5.00	P			2683658.05	1246679.08	0.00		4	1.00	1	1	26.00		656085	-2885	a	4	2683658.05	1246679.08
19470.00000000000	517.65	123.92	1.00	7.00	4.50	P			2683717.95	1246664.09	23.00	mn	4	0.00	5	4	0.00	13					2683717.95	1246664.09
21987.00000000000	472.07	176.09	1.00	14.50	12.00	P			2683653.79	1246690.23	0.00		5	1.00	1	1	29.00		657392	-3176	b	81	2683653.79	1246690.23
23651.00000000000	514.95	139.13	1.00	6.50	5.50	P			2683708.70	1246676.46	13.00		1	0.00	5	4	0.00	12					2683708.70	1246676.46
19698.00000000000	506.77	124.10	1.00	6.50	7.50	P			2683708.15	1246659.36	36.00			1.00	1	3	14.00		657207	-3170	b		2683708.15	1246659.36
20808.00000000000	486.60	159.50	1.00	14.00	8.00	P			2683674.23	1246681.94	0.00		3	1.00	1	1	25.00		657214	-3175	a	20	2683674.23	1246681.94
5986.00000000000	508.94	162.76	1.00	7.00	4.50	P			2683692.73	1246694.88	19.00			0.00	5	4	0.00	14					2683692.73	1246694.88
4257.00000000000	495.62	138.56	1.00	14.00	8.50	P			2683691.70	1246667.27	50.00			1.00	1	1	26.00		657853	0	u	46	2683691.70	1246667.27
24615.00000000000	500.53	121.17	1.00	14.00	8.50	P			2683703.88	1246653.94	0.00		4	1.00	1	3	22.00		657062	-2755	a	51	2683703.88	1246653.95
17249.00000000000	454.34	177.61	1.00	12.50	8.50	P			2683637.27	1246683.63	80.00		3	1.00	1	1	25.00		658050	-2883	a	4	2683637.27	1246683.63
16470.00000000000	509.51	101.89	1.00	17.00	15.00	P			2683720.57	1246640.75	34.00	mn	5	1.00	1	4	0.00	31					2683720.57	1246640.75
26010.00000000000	483.96	132.12	1.00	9.00	9.00	P			2683684.16	1246656.28	0.00		4	1.00	1	1	26.00		657581	-2753	a	51	2683684.17	1246656.28
24605.00000000000	498.24	121.21	1.00	7.50	6.00	P			2683701.82	1246652.95	25.00	m	3	1.00	1	4	14.00						2683701.83	1246652.95
26119.00000000000	481.37	125.75	1.00	21.50	11.00	P			2683684.71	1246649.43	0.00	mn	5	1.00	1	1	42.00		657678	0	u		2683684.71	1246649.43
19175.00000000000	511.17	124.96	1.00	13.00	10.00	P			2683711.69	1246662.11	52.00	mn	5	1.00	1	1	24.00		656380	-3160	a	35	2683711.69	1246662.11
1364.00000000000	489.20	137.81	1.00	8.50	7.50	P			2683686.29	1246663.72	0.00			1.00	1	1	17.00		655080	0	u		2683686.29	1246663.72
22381.00000000000	476.50	155.35	1.00	10.00	7.50	P			2683667.07	1246673.69	0.00		4	1.00	1	1	22.00		656345	-3175	a	23	2683667.07	1246673.69
28369.00000000000	469.66	153.13	1.00	11.00	10.00	P			2683661.95	1246668.63	33.00	mn	1	1.00	1	3	22.00		658313	0	u		2683661.95	1246668.63
22398.00000000000	478.58	155.54	1.00	8.00	7.00	P			2683668.84	1246674.80	31.00		5	0.00	7	3	0.00	16					2683668.84	1246674.80
21849.00000000000	473.54	176.66	1.00	13.50	9.00	P			2683654.86	1246691.40	50.00		5	1.00	1	3	29.00		655987	-3177	b		2683654.86	1246691.40
